"","elements_number","y_component_number","vector_length","temporary_size","load_overlap","threads_number","lws_y","time_per_pixel","row_number","measurement_order","experiment_id","slowdown","method"
"1",6,6,1,2,2,1024,1,1.25629960742448e-10,14403,52,1,1.07835653189674,"GPR_dampening"
"2",6,6,1,2,1,1024,16,1.19644084929894e-10,12727,49,2,1.02697620634826,"GPR_dampening"
"3",6,6,1,2,2,1024,16,1.20103281224236e-10,13436,54,3,1.03091776073943,"GPR_dampening"
"4",6,6,1,4,1,256,1,1.19886821794317e-10,8697,82,4,1.02905976095368,"GPR_dampening"
"5",6,6,1,2,1,1024,8,1.17642516833282e-10,19494,101,5,1.00979555916616,"GPR_dampening"
"6",6,6,1,2,2,128,1,1.18258966570151e-10,16588,41,6,1.01508691320631,"GPR_dampening"
"7",6,6,1,4,2,1024,1,1.29667282018423e-10,19245,40,7,1.1130112571198,"GPR_dampening"
"8",6,6,1,2,1,512,1,1.19017365172127e-10,13437,6,8,1.02159669862205,"GPR_dampening"
"9",6,6,1,4,1,1024,1,1.25373995702647e-10,19156,95,9,1.0761594320093,"GPR_dampening"
"10",6,6,1,4,2,256,1,1.20016645514951e-10,13669,108,10,1.0301741150163,"GPR_dampening"
"11",6,6,1,4,1,1024,16,1.22460968799545e-10,13283,54,11,1.0511551928136,"GPR_dampening"
"12",6,6,1,4,2,128,1,1.1965589478547e-10,17968,79,12,1.02707757734946,"GPR_dampening"
"13",6,6,1,2,2,256,1,1.17919974204394e-10,17258,64,13,1.01217714049192,"GPR_dampening"
"14",6,6,1,2,2,1024,1,1.25629960742448e-10,14403,94,14,1.07835653189674,"GPR_dampening"
"15",6,6,1,2,2,256,1,1.17919974204394e-10,17258,109,15,1.01217714049192,"GPR_dampening"
"16",6,6,1,4,2,128,1,1.1965589478547e-10,17968,60,16,1.02707757734946,"GPR_dampening"
"17",6,6,1,4,1,1024,8,1.20545060937111e-10,17594,82,17,1.0347098182727,"GPR_dampening"
"18",6,6,1,4,2,1024,8,1.20170053330998e-10,12448,66,18,1.03149090537029,"GPR_dampening"
"19",6,6,1,4,1,1024,1,1.25373995702647e-10,19156,25,19,1.0761594320093,"GPR_dampening"
"20",6,6,1,4,1,1024,1,1.25373995702647e-10,19156,61,20,1.0761594320093,"GPR_dampening"
