"","elements_number","y_component_number","vector_length","temporary_size","load_overlap","threads_number","lws_y","time_per_pixel","row_number","measurement_order","experiment_id","slowdown","method"
"1",6,6,1,4,1,1024,4,1.18096841715479e-10,16041,93,1,1.01369529933502,"GPR"
"2",12,6,2,2,2,512,4,1.36418442758031e-10,10116,65,2,1.17096047750018,"GPR"
"3",6,6,1,4,1,1024,16,1.22460968799545e-10,13283,6,3,1.0511551928136,"GPR"
"4",6,6,1,2,1,1024,8,1.17642516833282e-10,19494,82,4,1.00979555916616,"GPR"
"5",24,6,4,2,2,256,4,1.43377486488586e-10,7217,113,5,1.23069408099929,"GPR"
"6",24,6,4,4,2,512,16,1.53241402479756e-10,19271,7,6,1.31536192755673,"GPR"
"7",5,5,1,4,1,128,4,1.22895935866513e-10,22861,13,7,1.0548887733628,"GPR"
"8",6,6,1,2,1,1024,2,1.20524986739671e-10,11920,89,8,1.03453750951924,"GPR"
"9",6,6,1,2,1,1024,8,1.17642516833282e-10,19494,29,9,1.00979555916616,"GPR"
"10",4,4,1,4,2,512,16,1.27430932130334e-10,4901,16,10,1.09381533844583,"GPR"
"11",6,6,1,2,2,1024,1,1.25629960742448e-10,14403,63,11,1.07835653189674,"GPR"
"12",6,6,1,4,2,1024,4,1.18152943056837e-10,12719,105,12,1.01417685045184,"GPR"
"13",20,5,1,4,2,512,2,1.6070314976955e-10,14444,96,13,1.37941053412924,"GPR"
"14",6,6,1,2,2,128,2,1.18080485105728e-10,11332,105,14,1.01355490084361,"GPR"
"15",6,6,1,2,1,1024,8,1.17642516833282e-10,19494,46,15,1.00979555916616,"GPR"
"16",6,6,1,4,1,512,4,1.1888726151874e-10,22752,83,16,1.02047994173043,"GPR"
"17",6,6,1,2,2,512,8,1.18283916839785e-10,17018,5,17,1.01530107618203,"GPR"
"18",6,6,1,2,2,1024,8,1.18235071768955e-10,9305,115,18,1.01488180994275,"GPR"
"19",6,6,1,4,2,1024,2,1.18398283203908e-10,14134,35,19,1.01628275057763,"GPR"
"20",6,6,1,2,2,1024,2,1.16501321248061e-10,13752,40,20,1,"GPR"
"21",6,6,1,4,1,1024,16,1.22460968799545e-10,13283,111,21,1.0511551928136,"GPR"
"22",12,6,1,2,2,256,2,1.36286375373921e-10,7935,65,22,1.169826864742,"GPR"
"23",12,6,1,2,2,128,2,1.39646781237429e-10,7170,4,23,1.19867122313648,"GPR"
"24",3,3,1,2,1,1024,32,1.42819696346756e-10,15956,2,24,1.22590623708598,"GPR"
"25",6,6,1,4,1,1024,4,1.18096841715479e-10,16041,87,25,1.01369529933502,"GPR"
"26",4,4,1,4,1,512,16,1.25718814598265e-10,2798,108,26,1.07911921728834,"GPR"
"27",24,6,1,2,2,256,2,1.45429235738413e-10,10992,65,27,1.24830546280893,"GPR"
"28",5,5,1,2,1,1024,2,1.24220644460169e-10,8688,6,28,1.06625953362084,"GPR"
"29",6,6,1,4,2,1024,1,1.29667282018423e-10,19245,25,29,1.1130112571198,"GPR"
"30",6,6,1,2,2,1024,2,1.16501321248061e-10,13752,101,30,1,"GPR"
"31",24,6,2,4,2,128,2,1.41639115932257e-10,19786,19,31,1.21577261454975,"GPR"
"32",6,6,1,2,1,512,1,1.19017365172127e-10,13437,52,32,1.02159669862205,"GPR"
"33",6,6,1,4,2,1024,4,1.18152943056837e-10,12719,81,33,1.01417685045184,"GPR"
"34",6,6,1,2,2,128,1,1.18258966570151e-10,16588,106,34,1.01508691320631,"GPR"
"35",5,5,1,2,1,512,1,1.22282330349011e-10,14708,35,35,1.04962183294592,"GPR"
"36",6,6,1,2,2,256,1,1.17919974204394e-10,17258,33,36,1.01217714049192,"GPR"
"37",6,6,1,2,2,1024,2,1.16501321248061e-10,13752,69,37,1,"GPR"
"38",6,6,1,2,2,1024,2,1.16501321248061e-10,13752,44,38,1,"GPR"
"39",6,6,1,2,2,256,1,1.17919974204394e-10,17258,36,39,1.01217714049192,"GPR"
"40",6,6,1,4,2,1024,4,1.18152943056837e-10,12719,36,40,1.01417685045184,"GPR"
"41",6,6,1,2,1,1024,2,1.20524986739671e-10,11920,23,41,1.03453750951924,"GPR"
"42",12,6,2,2,2,128,1,1.38258953067267e-10,9343,72,42,1.18675867008305,"GPR"
"43",5,5,1,4,2,1024,32,1.27482458397912e-10,10562,23,43,1.09425761898844,"GPR"
"44",6,6,1,2,1,256,1,1.18202032710546e-10,19283,63,44,1.01459821609115,"GPR"
"45",6,6,1,2,1,256,1,1.18202032710546e-10,19283,71,45,1.01459821609115,"GPR"
"46",6,6,1,2,2,1024,8,1.18235071768955e-10,9305,34,46,1.01488180994275,"GPR"
"47",6,6,1,2,1,1024,8,1.17642516833282e-10,19494,112,47,1.00979555916616,"GPR"
"48",24,6,1,4,2,128,1,1.41490786848524e-10,10638,109,48,1.21449941797015,"GPR"
"49",6,6,1,2,1,128,4,1.17732534790262e-10,14258,111,49,1.01056823672909,"GPR"
"50",24,6,2,2,2,128,1,1.42628496494094e-10,20379,80,50,1.22426505524689,"GPR"
"51",6,6,1,2,1,256,4,1.17149348789584e-10,9843,74,51,1.00556240508331,"GPR"
"52",24,6,1,2,1,512,4,1.49186627382953e-10,20276,81,52,1.28055738582824,"GPR"
"53",6,6,1,2,1,1024,8,1.17642516833282e-10,19494,89,53,1.00979555916616,"GPR"
"54",6,6,1,4,1,1024,1,1.25373995702647e-10,19156,26,54,1.0761594320093,"GPR"
"55",6,6,1,2,2,1024,2,1.16501321248061e-10,13752,34,55,1,"GPR"
"56",12,6,2,2,1,256,2,1.37455954892558e-10,15765,1,56,1.17986606005848,"GPR"
"57",6,6,1,4,2,1024,4,1.18152943056837e-10,12719,106,57,1.01417685045184,"GPR"
"58",6,6,1,2,2,512,8,1.18283916839785e-10,17018,77,58,1.01530107618203,"GPR"
"59",24,6,4,4,2,256,4,1.45097021726241e-10,18889,64,59,1.24545387272726,"GPR"
"60",6,6,1,2,1,256,1,1.18202032710546e-10,19283,19,60,1.01459821609115,"GPR"
"61",5,5,1,4,2,1024,8,1.22673693643043e-10,17889,18,61,1.0529811364271,"GPR"
"62",24,6,1,4,1,512,8,1.50647308437988e-10,10318,38,62,1.29309527844084,"GPR"
"63",6,6,1,2,2,512,8,1.18283916839785e-10,17018,46,63,1.01530107618203,"GPR"
"64",6,6,1,2,1,1024,4,1.18746991977228e-10,9539,114,64,1.01927592498616,"GPR"
"65",6,6,1,2,2,1024,2,1.16501321248061e-10,13752,85,65,1,"GPR"
"66",12,6,1,4,1,128,4,1.39484995199273e-10,10377,22,66,1.19728251752848,"GPR"
"67",6,6,1,4,2,1024,4,1.18152943056837e-10,12719,93,67,1.01417685045184,"GPR"
"68",5,5,1,4,2,1024,32,1.27482458397912e-10,10562,67,68,1.09425761898844,"GPR"
"69",6,6,1,2,1,1024,8,1.17642516833282e-10,19494,41,69,1.00979555916616,"GPR"
"70",6,6,1,2,1,1024,8,1.17642516833282e-10,19494,36,70,1.00979555916616,"GPR"
"71",4,4,1,4,1,256,4,1.28845887884033e-10,2557,14,71,1.10596074365275,"GPR"
"72",24,6,1,4,2,128,1,1.41490786848524e-10,10638,50,72,1.21449941797015,"GPR"
"73",6,6,1,2,2,128,1,1.18258966570151e-10,16588,120,73,1.01508691320631,"GPR"
"74",6,6,1,2,1,1024,8,1.17642516833282e-10,19494,111,74,1.00979555916616,"GPR"
"75",6,6,1,2,2,128,2,1.18080485105728e-10,11332,45,75,1.01355490084361,"GPR"
"76",6,6,1,2,1,1024,4,1.18746991977228e-10,9539,117,76,1.01927592498616,"GPR"
"77",6,6,1,4,1,1024,16,1.22460968799545e-10,13283,118,77,1.0511551928136,"GPR"
"78",6,6,1,2,1,1024,8,1.17642516833282e-10,19494,118,78,1.00979555916616,"GPR"
"79",6,6,1,2,1,1024,8,1.17642516833282e-10,19494,103,79,1.00979555916616,"GPR"
"80",6,6,1,4,2,128,2,1.18746687810648e-10,21312,76,80,1.01927331414384,"GPR"
"81",6,6,1,2,1,1024,8,1.17642516833282e-10,19494,69,81,1.00979555916616,"GPR"
"82",5,5,1,2,2,128,1,1.22082511768545e-10,15664,21,82,1.04790667144968,"GPR"
